Geo Point,UBIGEO
"-11.5556346957, -76.6115961025",150405
"-8.20580726939, -77.0924642893",130807
"-7.73245254081, -77.5895450001",130809
"-5.95246281961, -78.2349579517",10705
"-15.5673608454, -73.7303800159",40312
"-15.6409572109, -72.2850889018",40403
"-15.1821384744, -72.1161918751",40404
"-15.3506205276, -72.385275545",40405
"-11.4938966265, -74.2411399634",120604
"-7.36430408343, -78.9176893007",60504
"-7.15904792997, -78.873085214",61203
"-7.01442466301, -79.6713009573",140107
"-6.86573035676, -79.8574845687",140108
"-6.8887009402, -79.5066821013",140116
"-10.714926002, -77.6826923059",150201
"-11.0035904276, -77.4452240991",150806
"-10.8835561728, -77.1279202264",150904
"-9.0818305656, -77.0073445799",20301
"-9.14324185258, -77.9570270578",21206
"-10.1904460315, -77.3424818316",20505
"-10.3344551606, -77.1909793789",20506
"-10.2324768894, -77.2080341693",20515
"-9.10010562776, -78.43615622",21809
"-15.701962903, -73.0291096848",40608
"-15.6011306598, -72.4717592378",40408
"-15.1160984551, -72.248495822",40409
"-15.6707755111, -72.6190589785",40410
"-16.261591273, -72.5255726457",40413
"-15.9676228603, -72.0184453813",40511
"-15.7313112059, -71.7972744667",40512
"-15.5413400202, -71.8574427537",40513
"-17.1600366598, -71.5507232188",40706
"-15.2898097695, -73.0704265629",40807
"-15.4047623396, -73.0161232476",40811
"-16.489312119, -71.9878011172",40125
"-16.6309140479, -72.712879592",40201
"-16.4794005426, -72.6340938124",40205
"-16.2526821559, -71.4569476457",40103
"-16.4988870871, -71.3321758579",40113
"-15.3754193589, -74.761575882",40305
"-16.4066583008, -71.5384599628",40101
"-16.4314916205, -71.5234728719",40129
"-16.3564682595, -71.4712785484",40110
"-16.4211688162, -71.5762454264",40117
"-16.3753846595, -71.4628775811",40109
"-12.9564943085, -73.7127241806",50510
"-12.3394762243, -74.3830529603",50411
"-12.2985421141, -74.632737396",90720
"-13.6388531112, -72.618119497",30104
"-13.5061170441, -73.519602034",30605
"-13.5360409241, -73.1296954785",30208
"-5.06634599831, -79.7928096834",200403
"-4.93063187194, -81.070948164",200504
"-4.83748470194, -80.9626269064",200506
"-4.63696247634, -80.0053225078",200207
"-4.63834892157, -79.8466698559",200205
"-4.70385183458, -81.1081841876",200703
"-4.41997300876, -80.5027420299",200604
"-4.19472499401, -81.0642458366",200705
"-4.88971907622, -80.6742778523",200602
"-18.200022024, -70.439070857",230111
"-13.3977055072, -73.5550431331",30610
"-13.4555818751, -73.6173530838",30609
"-9.70773582739, -75.9384503146",100113
"-8.78967676119, -76.5085787007",100705
"-6.23089865274, -78.5697005396",60605
"-10.9651985476, -70.6499133676",170301
"-13.390153205, -73.7913938414",30611
"-15.4062287245, -70.126418743",211105
"-16.8574696329, -71.8789015674",40701
"-16.9288442787, -71.5994381456",40702
"-16.4577417634, -71.3828596752",40105
"-16.8357920768, -69.8551974581",210504
"-16.6041509892, -69.3988758198",210403
"-16.5526539674, -69.6334709914",210505
"-16.4945984479, -69.1779468898",210407
"-15.8909246186, -69.8785815126",210106
"-15.3110583268, -70.2364695987",210703
"-15.2406972187, -70.177700049",210202
"-15.3028251054, -70.0943279157",210205
"-14.5743396861, -70.812019055",210808
"-15.8807948715, -70.4086170309",210109
"-15.6014592828, -70.7845536722",210709
"-15.6216182916, -69.9977989401",210108
"-15.4675470466, -70.704755779",210707
"-15.4409193841, -69.9896661145",210605
"-15.1380059271, -69.6095026766",210608
"-15.1062775949, -69.9519675384",210206
"-15.0834053039, -70.2503520108",210214
"-15.0794683273, -70.4505278241",210708
"-15.0007969979, -70.1261890851",210213
"-14.8785770145, -70.7489853412",210809
"-14.8900964628, -70.894259258",210803
"-14.4164363286, -70.0921890471",210209
"-14.3546463527, -70.3841406313",210802
"-14.3363833156, -69.9289143537",210306
"-14.1407754622, -69.9383078577",210310
"-15.4268291382, -71.9360122562",40516
"-8.26344854159, -78.0048510025",21508
"-8.44606921561, -78.0555682742",21511
"-8.79036938394, -77.506526265",21601
"-9.21658783702, -76.6443863877",100505
"-8.60481772776, -77.1730563708",100701
"-8.76878638235, -77.1480333293",100703
"-11.1276234934, -75.625730678",120704
"-11.0327769775, -75.3564454947",120301
"-9.21843039554, -77.0417404197",20306
"-9.20558144115, -77.3975983531",20401
"-9.0972086181, -77.4057477414",20402
"-9.09716346082, -77.2909615375",20701
"-10.4401570339, -77.3586725964",21410
"-10.1080370429, -77.5874870379",21705
"-10.0940830462, -77.3732343815",21707
"-9.17748905047, -77.7589653745",22004
